country,bond_name,status,rows,start_date,end_date,history_path,request_log_path
south korea,South Korea 5Y,ok,7501,2000-01-04,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_5y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/south_korea/south_korea_5y_request_log.csv
switzerland,Switzerland 10Y,ok,6518,2000-01-04,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_10y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_10y_request_log.csv
switzerland,Switzerland 15Y,ok,4303,2007-08-31,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_15y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_15y_request_log.csv
switzerland,Switzerland 1M,ok,7695,2000-01-04,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_1m.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_1m_request_log.csv
switzerland,Switzerland 1W,ok,5091,2010-05-28,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_1w.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_1w_request_log.csv
switzerland,Switzerland 1Y,ok,7617,2000-01-03,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_1y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_1y_request_log.csv
switzerland,Switzerland 20Y,ok,5792,2000-01-04,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_20y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_20y_request_log.csv
switzerland,Switzerland 2M,ok,7686,2000-01-04,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_2m.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_2m_request_log.csv
switzerland,Switzerland 2Y,ok,6501,2000-01-04,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_2y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_2y_request_log.csv
switzerland,Switzerland 30Y,ok,6142,2000-01-04,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_30y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_30y_request_log.csv
switzerland,Switzerland 3M,ok,7729,2000-01-04,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_3m.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_3m_request_log.csv
switzerland,Switzerland 3Y,ok,6517,2000-01-04,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_3y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_3y_request_log.csv
switzerland,Switzerland 4Y,ok,6504,2000-01-04,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_4y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_4y_request_log.csv
switzerland,Switzerland 50Y,ok,1614,2014-11-05,2021-04-12,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_50y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_50y_request_log.csv
